STATION,X_TWD97,Y_TWD97,monthly,time,DIFFDISP,Layer_1,Layer_2,Layer_3,Layer_4,Layer_All
HUNAN,2649583.28339,197073.456957,3,2016-07-01,-3.348565075058689,-1.0,-3.0,-2.0,-1.0,-7.0
HUWEI,2623606.30661,192041.068482,3,2016-07-01,-2.006462084540473,1.0,1.0,0.0,-0.0,2.0
JIANYANG,2614756.24677,163506.218274,3,2016-07-01,3.112218140171241,-3.0,-4.0,0.0,,-7.0
JIAXING,2616146.2859,194875.077945,3,2016-07-01,-5.230726251298707,1.0,4.0,4.0,0.0,9.0
KECUO,2613831.28827,182075.186777,3,2016-07-01,0.4711827643444225,1.0,1.0,-2.0,1.0,1.0
LONGYAN,2624184.90663,179646.08447,3,2016-07-01,-2.855895495050801,0.0,1.0,-1.0,1.0,1.0
NEILIAO,2611723.34283,184142.181573,3,2016-07-01,7.426601275385131,1.0,7.0,-1.0,1.0,8.0
QIAOYI,2637964.78657,196150.707581,3,2016-07-01,-1.7182615626088085,2.0,-1.0,-1.0,1.0,1.0
TANQIFENXIAO,2599940.93758,176526.188454,3,2016-07-01,-3.988508056329872,-3.0,-1.0,1.0,-1.0,-4.0
TUKU,2620611.25819,187772.134694,3,2016-07-01,-1.8370366821068504,-1.0,1.0,-2.0,-3.0,-5.0
XIGANG,2639733.1713,177634.127419,3,2016-07-01,-2.1986542166952936,-1.0,-1.0,-1.0,1.0,-2.0
XINGHUA,2643201.13881,188364.082858,3,2016-07-01,-0.8064275439894925,-2.0,-1.0,1.0,6.0,4.0
XINJIE,2644119.88134,179743.007588,3,2016-07-01,-4.5609855178323695,0.0,0.0,-2.0,-1.0,-3.0
XINPI,2598087.955,181888.900806,3,2016-07-01,-3.600955031293872,-1.0,1.0,-1.0,0.0,-1.0
XINSHENG,2648279.21795,188342.160622,3,2016-07-01,-1.2189702123466,-1.0,-1.0,-2.0,-1.0,-5.0
XINXING,2626356.24719,170721.169691,3,2016-07-01,-2.7566328684262436,1.0,0.0,-1.0,0.0,0.0
XIUTAN,2617397.2418,183652.118876,3,2016-07-01,-4.730992745225578,5.0,4.0,1.0,0.0,10.0
XIZHOU,2638501.0722,199069.972355,3,2016-07-01,1.1295509220142939,0.0,0.0,0.0,0.0,0.0
YIWU,2604974.34087,167842.226707,3,2016-07-01,2.9817102017670725,1.0,4.0,1.0,1.0,7.0
YUANCHANG,2616803.26394,179485.192133,3,2016-07-01,-12.02223781621447,-5.0,1.0,-2.0,0.0,-6.0
ZHENNAN,2621720.32227,202939.032793,3,2016-07-01,-8.353308167648152,1.0,2.0,-0.0,1.0,4.0
ZHUTANG,2639635.48177,191944.07482,3,2016-07-01,-9.791729832328956,1.0,-2.0,0.0,-1.0,-2.0
ANHE,2602035.47057,179539.204623,4,2016-08-01,-2.6956930060450484,2.0,1.0,-2.0,1.0,2.0
BEICHEN,2608228.94939,178859.958807,4,2016-08-01,-0.5484671160548318,-2.0,2.0,0.0,1.0,1.0
CANLIN,2608157.27696,173088.151033,4,2016-08-01,0.15489947014193176,0.0,4.0,1.0,1.0,6.0
DONGGUANG,2616755.31388,175783.144962,4,2016-08-01,-2.4063915094722432,0.0,2.0,0.0,0.0,2.0
DONGSHI,2595468.32293,163523.186557,4,2016-08-01,-0.05187588589525097,2.0,2.0,0.0,0.0,4.0
ERLUN,2629865.28709,190429.148778,4,2016-08-01,0.639432879071982,0.0,-1.0,0.0,-3.0,-4.0
FENGAN,2631894.18276,171859.184496,4,2016-08-01,-1.319208094569113,-2.0,-1.0,-2.0,0.0,-5.0
FENGRONG,2632016.259,179785.17549,4,2016-08-01,-2.9960245969449177,-1.0,-1.0,-1.0,0.0,-3.0
GUANGFU,2626508.29835,189084.098343,4,2016-08-01,-0.0655186857709753,0.0,0.0,0.0,0.0,0.0
HAIFENG,2629140.25143,171150.145528,4,2016-08-01,-3.4056975871044783,0.0,-5.0,1.0,,-4.0
HONGLUN,2620454.90228,183487.975804,4,2016-08-01,0.5849926971776673,0.0,-2.0,-2.0,-1.0,-5.0
HUNAN,2649583.28339,197073.456957,4,2016-08-01,-1.4866822124985872,-1.0,-2.0,-0.0,1.0,-2.0
HUWEI,2623606.30661,192041.068482,4,2016-08-01,-1.719199986631654,0.0,0.0,-1.0,1.0,0.0
JIANYANG,2614756.24677,163506.218274,4,2016-08-01,3.474456641788029,3.0,4.0,0.0,,7.0
JIAXING,2616146.2859,194875.077945,4,2016-08-01,-2.410237180992986,0.0,-4.0,-1.0,0.0,-5.0
KECUO,2613831.28827,182075.186777,4,2016-08-01,1.512495186829405,0.0,3.0,0.0,0.0,3.0
LONGYAN,2624184.90663,179646.08447,4,2016-08-01,-1.7390286699092437,1.0,0.0,-1.0,0.0,0.0
NEILIAO,2611723.34283,184142.181573,4,2016-08-01,6.0834780981903185,1.0,-2.0,-1.0,-1.0,-3.0
QIAOYI,2637964.78657,196150.707581,4,2016-08-01,-0.7519937665311788,-3.0,1.0,-1.0,-1.0,-4.0
TANQIFENXIAO,2599940.93758,176526.188454,4,2016-08-01,-2.7687310431676937,1.0,3.0,0.0,0.0,4.0
TUKU,2620611.25819,187772.134694,4,2016-08-01,-0.20314951632224384,2.0,1.0,3.0,-1.0,5.0
XIGANG,2639733.1713,177634.127419,4,2016-08-01,-1.2884214347880107,-2.0,-2.0,-1.0,0.0,-5.0
XINGHUA,2643201.13881,188364.082858,4,2016-08-01,-0.3022530787768148,-0.0,-1.0,-1.0,-2.0,-4.0
XINJIE,2644119.88134,179743.007588,4,2016-08-01,-2.405226061948404,-1.0,0.0,-1.0,2.0,0.0
XINPI,2598087.955,181888.900806,4,2016-08-01,-4.0806309895828825,-1.0,0.0,-1.0,1.0,-1.0
XINSHENG,2648279.21795,188342.160622,4,2016-08-01,-0.8941394923603604,-2.0,-2.0,0.0,-1.0,-5.0
XINXING,2626356.24719,170721.169691,4,2016-08-01,2.1514652075978455,-2.0,-4.0,-1.0,0.0,-7.0
XIUTAN,2617397.2418,183652.118876,4,2016-08-01,-2.551341613587918,-3.0,-2.0,-1.0,0.0,-6.0
XIZHOU,2638501.0722,199069.972355,4,2016-08-01,-0.9612059445012465,0.0,-2.0,1.0,0.0,-1.0
YIWU,2604974.34087,167842.226707,4,2016-08-01,2.8825542480790913,0.0,3.0,2.0,-1.0,4.0
YUANCHANG,2616803.26394,179485.192133,4,2016-08-01,-11.252173342710021,2.0,7.0,1.0,-1.0,9.0
ZHENNAN,2621720.32227,202939.032793,4,2016-08-01,-8.301413049560425,0.0,0.0,-1.0,1.0,0.0
ZHUTANG,2639635.48177,191944.07482,4,2016-08-01,-9.314577557242844,0.0,-1.0,-1.0,1.0,-1.0
ANHE,2602035.47057,179539.204623,5,2016-09-01,-3.24118824336852,1.0,5.0,-3.0,1.0,4.0
BEICHEN,2608228.94939,178859.958807,5,2016-09-01,0.8591651990588781,2.0,4.0,-2.0,0.0,4.0
CANLIN,2608157.27696,173088.151033,5,2016-09-01,-1.1708287805164797,1.0,3.0,2.0,0.0,6.0
DONGGUANG,2616755.31388,175783.144962,5,2016-09-01,-1.7639616224984582,4.0,3.0,0.0,-1.0,6.0
DONGSHI,2595468.32293,163523.186557,5,2016-09-01,0.11961130989627336,0.0,6.0,0.0,0.0,6.0
ERLUN,2629865.28709,190429.148778,5,2016-09-01,-1.2524998181395304,0.0,1.0,-1.0,3.0,3.0
FENGAN,2631894.18276,171859.184496,5,2016-09-01,-1.9935428323527224,1.0,5.0,2.0,1.0,9.0
FENGRONG,2632016.259,179785.17549,5,2016-09-01,-3.2778867422823974,0.0,4.0,-2.0,1.0,3.0
GUANGFU,2626508.29835,189084.098343,5,2016-09-01,-2.2453357286186035,-1.0,2.0,-1.0,0.0,0.0
HAIFENG,2629140.25143,171150.145528,5,2016-09-01,-3.1389226539136503,1.0,8.0,0.0,,9.0
