STATION	X_TWD97	Y_TWD97	monthly	time	DIFFDISP	Layer_1	Layer_2	Layer_3	Layer_4	Layer_All
NEILIAO	2611723.343	184142.1816	4	16/8/01	6.083478098	1	-2	-1	-1	-3
QIAOYI	2637964.787	196150.7076	4	16/8/01	-0.751993767	-3	1	-1	-1	-4
TANQIFENXIAO	2599940.938	176526.1885	4	16/8/01	-2.768731043	1	3	0	0	4
TUKU	2620611.258	187772.1347	4	16/8/01	-0.203149516	2	1	3	-1	5
XIGANG	2639733.171	177634.1274	4	16/8/01	-1.288421435	-2	-2	-1	0	-5
XINGHUA	2643201.139	188364.0829	4	16/8/01	-0.302253079	0	-1	-1	-2	-4
XINJIE	2644119.881	179743.0076	4	16/8/01	-2.405226062	-1	0	-1	2	0
XINPI	2598087.955	181888.9008	4	16/8/01	-4.08063099	-1	0	-1	1	-1
XINSHENG	2648279.218	188342.1606	4	16/8/01	-0.894139492	-2	-2	0	-1	-5
XINXING	2626356.247	170721.1697	4	16/8/01	2.151465208	-2	-4	-1	0	-7
XIUTAN	2617397.242	183652.1189	4	16/8/01	-2.551341614	-3	-2	-1	0	-6
XIZHOU	2638501.072	199069.9724	4	16/8/01	-0.961205945	0	-2	1	0	-1
YIWU	2604974.341	167842.2267	4	16/8/01	2.882554248	0	3	2	-1	4
YUANCHANG	2616803.264	179485.1921	4	16/8/01	-11.25217334	2	7	1	-1	9
ZHENNAN	2621720.322	202939.0328	4	16/8/01	-8.30141305	0	0	-1	1	0
ZHUTANG	2639635.482	191944.0748	4	16/8/01	-9.314577557	0	-1	-1	1	-1
ANHE	2602035.471	179539.2046	5	16/9/01	-3.241188243	1	5	-3	1	4
BEICHEN	2608228.949	178859.9588	5	16/9/01	0.859165199	2	4	-2	0	4
CANLIN	2608157.277	173088.151	5	16/9/01	-1.170828781	1	3	2	0	6
DONGGUANG	2616755.314	175783.145	5	16/9/01	-1.763961622	4	3	0	-1	6
DONGSHI	2595468.323	163523.1866	5	16/9/01	0.11961131	0	6	0	0	6
ERLUN	2629865.287	190429.1488	5	16/9/01	-1.252499818	0	1	-1	3	3
FENGAN	2631894.183	171859.1845	5	16/9/01	-1.993542832	1	5	2	1	9
FENGRONG	2632016.259	179785.1755	5	16/9/01	-3.277886742	0	4	-2	1	3
GUANGFU	2626508.298	189084.0983	5	16/9/01	-2.245335729	-1	2	-1	0	0
HAIFENG	2629140.251	171150.1455	5	16/9/01	-3.138922654	1	8	0		9
HONGLUN	2620454.902	183487.9758	5	16/9/01	-1.323498542	0	4	0	-2	2
HUNAN	2649583.283	197073.457	5	16/9/01	-0.940841116	-1	-2	-1	0	-4
HUWEI	2623606.307	192041.0685	5	16/9/01	-0.984848034	0	1	0	0	1
JIANYANG	2614756.247	163506.2183	5	16/9/01	-1.075990843	0	2	0		2
JIAXING	2616146.286	194875.0779	5	16/9/01	-1.960831587	1	8	-1	0	8
KECUO	2613831.288	182075.1868	5	16/9/01	-1.307503483	-4	5	-3	3	1
LONGYAN	2624184.907	179646.0845	5	16/9/01	-2.520684354	0	2	0	-1	1
NEILIAO	2611723.343	184142.1816	5	16/9/01	1.582047771	-1	2	2	0	3
QIAOYI	2637964.787	196150.7076	5	16/9/01	0.155747021	2	-2	-1	0	-1
TANQIFENXIAO	2599940.938	176526.1885	5	16/9/01	-3.347134263	3	3	0	0	6
TUKU	2620611.258	187772.1347	5	16/9/01	-0.4205404	1	4	-6	-1	-2
XIGANG	2639733.171	177634.1274	5	16/9/01	-2.321646662	2	-2	0	-1	-1
XINGHUA	2643201.139	188364.0829	5	16/9/01	-2.000839592	-1	-2	0	-3	-6
XINJIE	2644119.881	179743.0076	5	16/9/01	0.047019314	1	-2	-1	1	-1
XINPI	2598087.955	181888.9008	5	16/9/01	-4.130924505	2	3	0	0	5
XINSHENG	2648279.218	188342.1606	5	16/9/01	-2.194620537	-1	-1	0	-1	-3
XINXING	2626356.247	170721.1697	5	16/9/01	3.065332017	2	6	1	0	9
XIUTAN	2617397.242	183652.1189	5	16/9/01	-1.706427803	1	4	0	-1	4
XIZHOU	2638501.072	199069.9724	5	16/9/01	-3.251253591	0	0	1	-1	0
YIWU	2604974.341	167842.2267	5	16/9/01	-2.109042947	1	7	2	0	10
YUANCHANG	2616803.264	179485.1921	5	16/9/01	-6.288894155	1	-2	0	0	-1
ZHENNAN	2621720.322	202939.0328	5	16/9/01	-4.243232466	1	1	0	0	2
ZHUTANG	2639635.482	191944.0748	5	16/9/01	-5.75547635	0	0	0	0	0
ANHE	2602035.471	179539.2046	6	16/10/01	-3.499239886	0	1	2	0	3
BEICHEN	2608228.949	178859.9588	6	16/10/01	0.602592506	1	2	2	0	5
CANLIN	2608157.277	173088.151	6	16/10/01	-3.623323737	3	3	1	1	8
DONGGUANG	2616755.314	175783.145	6	16/10/01	-1.803312862	0	1	1	0	2
DONGSHI	2595468.323	163523.1866	6	16/10/01	-0.962599391	0	4	0	0	4
ERLUN	2629865.287	190429.1488	6	16/10/01	-4.182099595	1	0	0	0	1
FENGAN	2631894.183	171859.1845	6	16/10/01	-2.968806857	1	-2	1	0	0
FENGRONG	2632016.259	179785.1755	6	16/10/01	-3.976297346	2	0	0	0	2
GUANGFU	2626508.298	189084.0983	6	16/10/01	-4.681707054	1	0	0	0	1
HAIFENG	2629140.251	171150.1455	6	16/10/01	-2.969160865	0	-1	0		-1
HONGLUN	2620454.902	183487.9758	6	16/10/01	-3.383821673	1	1	0	3	5
HUNAN	2649583.283	197073.457	6	16/10/01	-2.314003403	1	2	1	1	5
HUWEI	2623606.307	192041.0685	6	16/10/01	-1.269539786	0	-1	2	0	1
JIANYANG	2614756.247	163506.2183	6	16/10/01	-5.941909093	0	2	0		2
JIAXING	2616146.286	194875.0779	6	16/10/01	-2.591672012	0	-1	2	0	1
KECUO	2613831.288	182075.1868	6	16/10/01	-5.285383173	6	2	-1	0	7
LONGYAN	2624184.907	179646.0845	6	16/10/01	-4.423875033	2	1	0	0	3
NEILIAO	2611723.343	184142.1816	6	16/10/01	-1.838225043	1	4	-1	1	5
QIAOYI	2637964.787	196150.7076	6	16/10/01	-0.188185096	1	0	-1	0	0
TANQIFENXIAO	2599940.938	176526.1885	6	16/10/01	-4.185142398	4	1	1	0	6
TUKU	2620611.258	187772.1347	6	16/10/01	-1.18723062	0	1	0	5	6
XIGANG	2639733.171	177634.1274	6	16/10/01	-4.707874246	1	4	1	0	6
XINGHUA	2643201.139	188364.0829	6	16/10/01	-4.217377363	2	-1	2	-2	1
XINJIE	2644119.881	179743.0076	6	16/10/01	0.347443438	0	2	0	0	2
XINPI	2598087.955	181888.9008	6	16/10/01	-4.073863046	0	1	0	1	2
XINSHENG	2648279.218	188342.1606	6	16/10/01	-4.441070509	2	2	-1	0	3
XINXING	2626356.247	170721.1697	6	16/10/01	-0.242871641	1	2	2	0	5
XIUTAN	2617397.242	183652.1189	6	16/10/01	-2.209574266	5	1	0	-1	5
XIZHOU	2638501.072	199069.9724	6	16/10/01	-3.704897114	1	1	-2	0	0
YIWU	2604974.341	167842.2267	6	16/10/01	-5.851388296	1	2	2	0	5
YUANCHANG	2616803.264	179485.1921	6	16/10/01	-3.304369176	3	4	2	0	9
ZHENNAN	2621720.322	202939.0328	6	16/10/01	-0.230800722	1	1	0	0	2
ZHUTANG	2639635.482	191944.0748	6	16/10/01	-1.026812424	0	1	0	-1	0
ANHE	2602035.471	179539.2046	7	16/11/01	-3.882525903	1	0	5	-1	5
BEICHEN	2608228.949	178859.9588	7	16/11/01	-1.480147088	-1	1	0	0	0
CANLIN	2608157.277	173088.151	7	16/11/01	-5.53133563	-4	1	-1	1	-3
DONGGUANG	2616755.314	175783.145	7	16/11/01	-2.426141419	-4	-1	-3	1	-7
DONGSHI	2595468.323	163523.1866	7	16/11/01	-2.454271891	0	0	2	0	2
ERLUN	2629865.287	190429.1488	7	16/11/01	-6.751045923	-1	0	0	1	0
FENGAN	2631894.183	171859.1845	7	16/11/01	-3.702115997	-1	-4	0	-1	-6
FENGRONG	2632016.259	179785.1755	7	16/11/01	-4.755445089	-2	-2	0	0	-4
GUANGFU	2626508.298	189084.0983	7	16/11/01	-5.817110678	-2	0	-3	1	-4
HAIFENG	2629140.251	171150.1455	7	16/11/01	-3.033777659	-1	-7	1		-7
HONGLUN	2620454.902	183487.9758	7	16/11/01	-4.662679213	-2	-3	1	1	-3
HUNAN	2649583.283	197073.457	7	16/11/01	-4.170577743	-2	0	-3	-1	-6
HUWEI	2623606.307	192041.0685	7	16/11/01	-2.751929354	0	1	-3	0	-2
JIANYANG	2614756.247	163506.2183	7	16/11/01	-7.447627568	-2	-2	0		-4
JIAXING	2616146.286	194875.0779	7	16/11/01	-3.915211567	2	-2	-1	0	-1
KECUO	2613831.288	182075.1868	7	16/11/01	-6.598525141	0	-3	-1	0	-4
LONGYAN	2624184.907	179646.0845	7	16/11/01	-5.654529155	-2	-3	0	0	-5
NEILIAO	2611723.343	184142.1816	7	16/11/01	-2.397824409	-2	-6	-1	1	-8
QIAOYI	2637964.787	196150.7076	7	16/11/01	-1.877120912	-1	1	0	0	0
TANQIFENXIAO	2599940.938	176526.1885	7	16/11/01	-4.86898822	-1	2	-1	1	1
TUKU	2620611.258	187772.1347	7	16/11/01	-1.947874066	0	-2	-3	0	-5
XIGANG	2639733.171	177634.1274	7	16/11/01	-6.270583756	-1	-2	-1	1	-3
XINGHUA	2643201.139	188364.0829	7	16/11/01	-5.553231097	-1	2	-3	1	-1
XINJIE	2644119.881	179743.0076	7	16/11/01	-1.258230366	0	-1	2	-1	0
XINPI	2598087.955	181888.9008	7	16/11/01	-4.585645658	2	1	0	0	3
XINSHENG	2648279.218	188342.1606	7	16/11/01	-6.314527184	-1	-4	0	0	-5
XINXING	2626356.247	170721.1697	7	16/11/01	-4.470652617	-3	-9	-4	0	-16
XIUTAN	2617397.242	183652.1189	7	16/11/01	-3.186784492	-2	-7	-1	0	-10
XIZHOU	2638501.072	199069.9724	7	16/11/01	-2.696230711	-1	0	0	0	-1
YIWU	2604974.341	167842.2267	7	16/11/01	-6.101074647	-2	0	-2	1	-3
YUANCHANG	2616803.264	179485.1921	7	16/11/01	-0.152857903	-3	-6	-1	-2	-12
ZHENNAN	2621720.322	202939.0328	7	16/11/01	0.754900619	0	1	0	0	1
ZHUTANG	2639635.482	191944.0748	7	16/11/01	0.84219594	0	-2	-1	0	-3
ANHE	2602035.471	179539.2046	8	16/12/01	-3.667638651	0	1	2	1	4
BEICHEN	2608228.949	178859.9588	8	16/12/01	-3.577681351	0	3	1	0	4
CANLIN	2608157.277	173088.151	8	16/12/01	-4.922230002	1	2	2	0	5
DONGGUANG	2616755.314	175783.145	8	16/12/01	-2.66745575	1	2	1	-1	3
DONGSHI	2595468.323	163523.1866	8	16/12/01	-2.839038031	1	-4	4	0	1
ERLUN	2629865.287	190429.1488	8	16/12/01	-7.234519198	1	0	2	-2	1
FENGAN	2631894.183	171859.1845	8	16/12/01	-3.588343682	1	1	-2	1	1
FENGRONG	2632016.259	179785.1755	8	16/12/01	-4.494270388	0	0	1	0	1
GUANGFU	2626508.298	189084.0983	8	16/12/01	-4.924476814	1	0	3	-1	3
HAIFENG	2629140.251	171150.1455	8	16/12/01	-2.812113066	1	2	-1		2
HONGLUN	2620454.902	183487.9758	8	16/12/01	-4.478934581	3	3	2	-1	7
HUNAN	2649583.283	197073.457	8	16/12/01	-4.190399314	1	2	1	1	5
HUWEI	2623606.307	192041.0685	8	16/12/01	-3.945824214	0	1	2	0	3
JIANYANG	2614756.247	163506.2183	8	16/12/01	-5.015005589	1	2	0		3
JIAXING	2616146.286	194875.0779	8	16/12/01	-3.978494718	0	5	2	0	7
KECUO	2613831.288	182075.1868	8	16/12/01	-4.675608771	-1	3	5	-1	6
LONGYAN	2624184.907	179646.0845	8	16/12/01	-4.572088862	1	3	0	-1	3
NEILIAO	2611723.343	184142.1816	8	16/12/01	-1.989680277	0	9	1	0	10
QIAOYI	2637964.787	196150.7076	8	16/12/01	-3.266083497	1	0	-2	0	-1
TANQIFENXIAO	2599940.938	176526.1885	8	16/12/01	-4.532092055	-1	3	0	1	3
TUKU	2620611.258	187772.1347	8	16/12/01	-2.590104936	0	4	4	-10	-2
XIGANG	2639733.171	177634.1274	8	16/12/01	-5.45354529	0	0	0	1	1
XINGHUA	2643201.139	188364.0829	8	16/12/01	-4.806423383	-1	1	-1	1	0
XINJIE	2644119.881	179743.0076	8	16/12/01	-3.126787048	0	1	-2	2	1
XINPI	2598087.955	181888.9008	8	16/12/01	-4.473386866	1	2	1	-1	3
XINSHENG	2648279.218	188342.1606	8	16/12/01	-5.889333749	1	3	-1	0	3
XINXING	2626356.247	170721.1697	8	16/12/01	-5.881593445	1	3	0	0	4
XIUTAN	2617397.242	183652.1189	8	16/12/01	-3.246815267	1	6	2	1	10
XIZHOU	2638501.072	199069.9724	8	16/12/01	-1.356240863	0	1	-1	1	1
YIWU	2604974.341	167842.2267	8	16/12/01	-3.442567572	-1	1	3	0	3
YUANCHANG	2616803.264	179485.1921	8	16/12/01	0.296165138	-3	6	-2	1	2
ZHENNAN	2621720.322	202939.0328	8	16/12/01	-0.761872017	-1	-1	1	0	-1
ZHUTANG	2639635.482	191944.0748	8	16/12/01	0.176128364	0	1	0	-1	0
ANHE	2602035.471	179539.2046	9	17/1/01	-3.145778486	-1	2	-2	0	-1
BEICHEN	2608228.949	178859.9588	9	17/1/01	-4.210610863	-1	1	-2	2	0
CANLIN	2608157.277	173088.151	9	17/1/01	-2.946807724	-1	-3	-2	-1	-7
DONGGUANG	2616755.314	175783.145	9	17/1/01	-2.415491123	-5	-6	0	0	-11
DONGSHI	2595468.323	163523.1866	9	17/1/01	-2.25164461	-1	0	-3	-1	-5
ERLUN	2629865.287	190429.1488	9	17/1/01	-6.965501386	0	0	-1	-1	-2
FENGAN	2631894.183	171859.1845	9	17/1/01	-3.526777455	0	2	-2	0	0
